name,family,status,previous_name,workflows,v1_or_v2,intervention_level,scope,card_kinds,granularity,split_reason,catastrophic,description,args
review,umbrella,existing-keep,,A;B,v1,,document,,,,false,"Walk the unified AI-request inbox; dispatch each Task to its specialist skill as a subagent.",<docPath>
create-footnote,creation,renamed,draft-footnote,A;B,v1,,paragraph,FootnoteRef,split,LaTeX Atom handling + cite-system detection,false,"Draft a footnote body, insert \footnote{} Atom at anchor, write FootnoteRef card.","<docPath> <requestId>"
create-citation,creation,renamed,find-citation,A;B,v1,,paragraph,CitationRef,split,External source search + bib entry creation,false,"Search Crossref/OpenAlex/etc.; add to references.bib; create CitationRef card.","<docPath> <requestId>"
create-quotation,creation,renamed,draft-quotation,A;B,v1,,paragraph,QuotationGroup,split,Quote extraction + fair-use constraints,false,Assemble a QuotationGroup nesting references + quotes + anchor links.,"<docPath> <requestId>"
create-card,creation,proposed,,A;B,v1,,paragraph,Note;Todo;Example;Annotation,parameterized,Same commandments; only body shape differs by kind,false,Create a new card of the specified kind at the given anchor.,"<docPath> <requestId> --kind=<note|todo|example|annotation>"
create-revision-suggestion,creation,renamed,draft-suggestion,A;B,v1,,paragraph,RevisionSuggestionCard,split,"Carries 'Virgil as author' UI mark; behavioral fork",false,Propose a revision to a paragraph. Always emits with author='virgil'.,"<docPath> <requestId>"
create-cut-suggestion,creation,proposed,,A;B,v1,,paragraph,CutterSuggestionCard,split,Carries 'Virgil as author' UI mark,false,Propose a cut or rewrite of an existing excerpt in Cutter panel.,"<docPath> <requestId>"
edit-card,card-ops,proposed,,A;B,v1,,card-specific,any,parameterized,Same commandments across kinds,false,Modify an existing card's body or fields.,"<docPath> <cardId> [--body <new-body> | --field <key>=<value>]"
archive-card,card-ops,proposed,,A;B,v1,,card-specific,any,parameterized,Mobility affordance is uniform across ontology,false,Move a card to the archive panel.,"<docPath> <cardId>"
restore-card,card-ops,proposed,,A;B,v1,,card-specific,any,parameterized,,false,Restore a card from the archive to its prior panel.,"<docPath> <cardId>"
move-card,card-ops,proposed,,A;B,v1,,card-specific,any,parameterized,,false,Re-anchor a card to a different paragraph or atom.,"<docPath> <cardId> <newAnchor>"
link-cards,card-ops,proposed,,A;B,v1,,card-specific,any,parameterized,,false,Create a relationship link between two cards.,"<docPath> <cardAId> <cardBId> [--kind=<rel>]"
answer-note-request,responder,existing-keep,,A,v1,,card-specific,Note,,,false,Answer a flagged note. Sibling note OR revision-suggestion if doc edit.,"<docPath> <requestId>"
answer-todo-request,responder,existing-keep,,A,v1,,card-specific,Todo,,,false,"Classify flagged todo as text-edit, missing-artifact, analysis, or limit.","<docPath> <requestId>"
answer-cutter-comment,responder,existing-keep,,A,v1,,card-specific,CutterComment,,,false,Respond to a flagged Cutter comment by drafting a CutterSuggestionCard.,"<docPath> <requestId>"
answer-revision-comment,responder,existing-keep,,A,v1,,card-specific,RevisionComment,,,false,Respond to a flagged Revisions comment. Sibling OR suggestion if doc edit.,"<docPath> <requestId>"
answer-bib-review,bibliography,existing-keep,,A;B,v1,,bib-entry,BibEntry;Annotation,,,false,"Three-mode: verify/fill fields, draft annotation, or swap library entry.","<docPath> <bibKey> [--library-sync <citekey>]"
sync-bib-to-library,bibliography,existing-keep,,A;B,v1,,document,BibEntry,,,true,Reconcile paper bibliography against library: swap matched / triage missing / flag ambiguous.,"<docPath> [--dry-run] [--library <path>]"
style-merge,style,existing-keep,,A;B,v1,,document,,,,true,Merge user preamble customizations onto a target style. Rewrites .tex; body untouched.,<docPath>
